semana,titulo,url_video
1,"Fisiopatología de Shock Dr. Fernando Palizas (P)","https://campusnew.sati.org.ar/pluginfile.php/283888/mod_resource/content/1/GMT20200821-175123_shock-palizas-p.mp4"
1,"Componentes de la hemodinamia Dra. Gonzalez Cecilia","https://campusnew.sati.org.ar/pluginfile.php/283889/mod_resource/content/1/Componenetes%20de%20la%20hemodinamia%20shoCK-DRA%20CECILIA%20GONZALEZ.mp4"
1,"Retorno venoso Dr. Juan Pendino","https://campusnew.sati.org.ar/pluginfile.php/283886/mod_resource/content/1/Retorno%20venoso-Juan-Pendino.mp4"
1,"Interacciones Cardiopulmonares Dra. Gonzalez Cecilia","https://campusnew.sati.org.ar/pluginfile.php/283882/mod_resource/content/1/Interaccion%20CARDIOPULM-DRA-CECILIA-Gonzalez.mp4"
1,"Elastancia Variable y Acoplamiento Ventriculo-Arterial Dr. Gonzalo Pontiggia","https://campusnew.sati.org.ar/pluginfile.php/285223/mod_resource/content/1/Elastancia%20Variable%20y%20Acoplamiento%20Ventriculo-Pontiggia.mp4"
2,"Fisiopatología de Sépsis Dr. Patricio Maskin","https://campusnew.sati.org.ar/pluginfile.php/283890/mod_resource/content/1/Fisiopatologia%20de%20la%20Sepsis-patricio%20maskin.mp4"
2,"Sepsis Definiciones Dra. Daniela Olmos","https://campusnew.sati.org.ar/pluginfile.php/283891/mod_resource/content/1/definiciones%20de%20sepsis-olmos.mp4"
2,"Epidemiología de la sepsis Dra. Estenssoro Elisa","https://campusnew.sati.org.ar/pluginfile.php/283901/mod_resource/content/1/estudio-sati.sepsis-estenssoro.mp4"
2,"Campaña Sobreviviendo a la Sepsis 2026 Parte I Dr. Roger Canelon","https://campusnew.sati.org.ar/pluginfile.php/285389/mod_resource/content/2/SCC-parte-1-1Roger.mp4"
2,"Campaña Sobreviviendo a la Sepsis 2026 Parte II Dr. Roger Canelon","https://campusnew.sati.org.ar/pluginfile.php/285397/mod_resource/content/2/SCC-parte-2-roger.mp4"
2,"Microcirculación Dra. Vanina Edul Kanoore","https://campusnew.sati.org.ar/pluginfile.php/283902/mod_resource/content/2/microcirculacion-EDUL-KANOORE.mp4"
2,"Vasopresores e Inotrópicos en el Shock Séptico Dr. Eduardo Prado","https://campusnew.sati.org.ar/pluginfile.php/283903/mod_resource/content/2/Vasopresores%20e%20inotropicos-prado.mp4"
2,"Adyuvantes en el Shock Dr. Patricio Maskin","https://campusnew.sati.org.ar/pluginfile.php/283892/mod_resource/content/1/ADYUVANTE-OTROS-MASKIN.mp4"
2,"Adyuvantes en el Shock-Corticoides Dr. Patricio Maskin","https://campusnew.sati.org.ar/pluginfile.php/283893/mod_resource/content/1/Adyuvantes-corticoides.mp4"
3,"Monitoreo de la presión parte I Dr. Pendino Juan Carlos","https://campusnew.sati.org.ar/pluginfile.php/283881/mod_resource/content/2/Pendino-1.mp4"
3,"Monitoreo de la presión parte II Dr. Pendino Juan Carlos","https://campusnew.sati.org.ar/pluginfile.php/285515/mod_resource/content/1/pendino-2.mp4"
3,"Evaluación clínica de la perfusión tisular (CRT) Dr. Juan Romano","https://campusnew.sati.org.ar/pluginfile.php/284566/mod_resource/content/1/Evaluaci%C3%B3n%20cl%C3%ADnica%20de%20la%20perfusi%C3%B3n%20tisular%20%20%28CRT%29-juan-romano.mp4"
3,"Biomarcadores. Lactato. Dr. Luis Gatti","https://campusnew.sati.org.ar/pluginfile.php/283887/mod_resource/content/1/lactato%20y%20biomarcadores%20-luis%20Gatti.mp4"
3,"SVO2 Dr. Juan Caminos","https://campusnew.sati.org.ar/pluginfile.php/283905/mod_resource/content/1/SVA-CAMINOS.mp4"
3,"Monitoreo de la Oxigenación y la perfusión tisular Dr. Dubin Arnaldo","https://campusnew.sati.org.ar/pluginfile.php/283908/mod_resource/content/1/2019-11-19-monitoreo-perfusion-oxigenacion-tisulares-dubin-noche.mp4"
3,"Gradiente veno arterial de PCo2 parte I Dr. Dubin Arnaldo","https://campusnew.sati.org.ar/pluginfile.php/283906/mod_resource/content/1/Dubin%20clase%20%20parte%201.mp4"
3,"Gradiente veno arterial de PCo2 parte II Dr. Dubin Arnaldo","https://campusnew.sati.org.ar/pluginfile.php/283907/mod_resource/content/1/Dubin%20clase%20parte%202.mp4"
4,"Fluidos en el shock Dr. Gutierrez Facundo","https://campusnew.sati.org.ar/pluginfile.php/283898/mod_resource/content/3/20240813-Fluidos-Gutierrez-Definitivo.mp4"
4,"Presión venosa central parte I Dra. Nicole Goette","https://campusnew.sati.org.ar/pluginfile.php/283883/mod_resource/content/1/PVC%20parte%201-GOETTE.mp4"
4,"Presión venosa central parte II Dra. Nicole Goette","https://campusnew.sati.org.ar/pluginfile.php/283884/mod_resource/content/1/PVC%20parte%202-GOETTE.mp4"
4,"Evaluación de la Respuesta a Fluídos Dr. Bernardo Lattanzio","https://campusnew.sati.org.ar/pluginfile.php/283899/mod_resource/content/3/Evaluacion%20respuesta%20fluidos%20-BERNARDO-LATANZIO%20%281%29.mp4"
4,"Métodos de evaluación de la respuesta a fluidos parte I Dr. Matias Mugno","https://campusnew.sati.org.ar/pluginfile.php/283923/mod_resource/content/2/Metodos%20dinamicos%20parte%201-mugno%20%281%29.mp4"
4,"Métodos de evaluación de la respuesta a fluidos parte II Dr. Matias Mugno","https://campusnew.sati.org.ar/pluginfile.php/285220/mod_resource/content/3/Metodos%20dinamicos%20parte%202-mugno%20%282%29.mp4"
4,"Catéter de Swan Ganz Dr. Romero Ignacio","https://campusnew.sati.org.ar/pluginfile.php/283919/mod_resource/content/2/cateter-romero.mp4"
4,"Monitoreo del gasto cardíaco por análisis de la onda de pulso Parte I Dr. Santiago Sac","https://campusnew.sati.org.ar/pluginfile.php/285221/mod_resource/content/1/GC%20por%20contorno%20de%20la%20onda%20de%20Pulso.%20Parte%201.%20SAC.mp4"
4,"Monitoreo del gasto cardíaco por análisis de la onda de pulso Parte II Dr. Santiago Sac","https://campusnew.sati.org.ar/pluginfile.php/285222/mod_resource/content/1/GC%20por%20contorno%20de%20la%20onda%20de%20pulso.%20Parte%202.%20SAC.mp4"
4,"Monitoreo del gasto cardíaco por termodilución transpulmonar Parte I Dr. Santiago SAC","https://campusnew.sati.org.ar/pluginfile.php/284568/mod_resource/content/1/Monitoreo%20del%20gasto%20card%C3%ADaco%20por%20termodiluci%C3%B3n%20transpulmonar%20Parte%201-SAC.%202026.mp4"
